,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation
2021-11-03 16:27:58+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:27:59+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:00+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:01+00:00,-15.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:02+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:03+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:04+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:05+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:06+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:07+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:08+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:09+00:00,-16.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:10+00:00,-16.1,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:11+00:00,-16.4,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:12+00:00,-16.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:13+00:00,-16.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:14+00:00,-16.3,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:15+00:00,-16.0,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:16+00:00,-15.9,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:17+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:18+00:00,-15.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:19+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:20+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:21+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:22+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:23+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:24+00:00,-15.8,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:25+00:00,-15.7,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:26+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:27+00:00,-15.6,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:28+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:29+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:30+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
2021-11-03 16:28:31+00:00,-15.5,2.0,218645.0,0.0,False,,0.0,0.0,0.0,AZ
