datetime,channel_1,channel_2,channel_3,channel_4,,
10/21/21 18:26:09,241145,>Range,>Range,>Range,,
10/21/21 18:26:10,241158,>Range,>Range,>Range,,
10/21/21 18:26:11,241280,>Range,>Range,>Range,,
10/21/21 18:26:12,241071,>Range,>Range,>Range,,
10/21/21 18:26:13,241209,>Range,>Range,>Range,,
10/21/21 18:26:14,241421,>Range,>Range,>Range,,
10/21/21 18:26:15,241373,>Range,>Range,>Range,,
10/21/21 18:26:16,241561,>Range,>Range,>Range,,
10/21/21 18:26:17,241074,>Range,>Range,>Range,,
10/21/21 18:26:18,240167,>Range,>Range,>Range,,
10/21/21 18:26:19,239448,>Range,>Range,>Range,,
10/21/21 18:26:20,239720,>Range,>Range,>Range,,
10/21/21 18:26:21,240172,>Range,>Range,>Range,,
10/21/21 18:26:22,240456,>Range,>Range,>Range,,
10/21/21 18:26:23,240476,>Range,>Range,>Range,,
10/21/21 18:26:24,240380,>Range,>Range,>Range,,
10/21/21 18:26:25,240652,>Range,>Range,>Range,,
10/21/21 18:26:26,240988,>Range,>Range,>Range,,
10/21/21 18:26:27,241392,>Range,>Range,>Range,,
10/21/21 18:26:28,241426,>Range,>Range,>Range,,
10/21/21 18:26:29,241007,>Range,>Range,>Range,,
10/21/21 18:26:30,240684,>Range,>Range,>Range,,
10/21/21 18:26:31,240679,>Range,>Range,>Range,,
10/21/21 18:26:32,240771,>Range,>Range,>Range,,
10/21/21 18:26:33,240350,>Range,>Range,>Range,,
10/21/21 18:26:34,239964,>Range,>Range,>Range,,
10/21/21 18:26:35,239734,>Range,>Range,>Range,,
10/21/21 18:26:36,239786,>Range,>Range,>Range,,
10/21/21 18:26:37,240072,>Range,>Range,>Range,,
10/21/21 18:26:38,240308,>Range,>Range,>Range,,
10/21/21 18:26:39,240042,>Range,>Range,>Range,,
10/21/21 18:26:40,239848,>Range,>Range,>Range,,
10/21/21 18:26:41,239599,>Range,>Range,>Range,,
10/21/21 18:26:42,239267,>Range,>Range,>Range,,
10/21/21 18:26:43,239107,>Range,>Range,>Range,,
10/21/21 18:26:44,238891,>Range,>Range,>Range,,
10/21/21 18:26:45,238445,>Range,>Range,>Range,,
10/21/21 18:26:46,237876,>Range,>Range,>Range,,
10/21/21 18:26:47,237510,>Range,>Range,>Range,,
10/21/21 18:26:48,237471,>Range,>Range,>Range,,
10/21/21 18:26:49,237770,>Range,>Range,>Range,,
10/21/21 18:26:50,238195,>Range,>Range,>Range,,
10/21/21 18:26:51,238267,>Range,>Range,>Range,,
10/21/21 18:26:52,238643,>Range,>Range,>Range,,
10/21/21 18:26:53,239122,>Range,>Range,>Range,,
10/21/21 18:26:54,239446,>Range,>Range,>Range,,
10/21/21 18:26:55,239230,>Range,>Range,>Range,,
10/21/21 18:26:56,239161,>Range,>Range,>Range,,
10/21/21 18:26:57,239069,>Range,>Range,>Range,,
10/21/21 18:26:58,238947,>Range,>Range,>Range,,
10/21/21 18:26:59,238792,>Range,>Range,>Range,,
10/21/21 18:27:00,238751,>Range,>Range,>Range,,
10/21/21 18:27:01,238743,>Range,>Range,>Range,,
10/21/21 18:27:02,238412,>Range,>Range,>Range,,
10/21/21 18:27:03,238314,>Range,>Range,>Range,,
10/21/21 18:27:04,238477,>Range,>Range,>Range,,
10/21/21 18:27:05,238578,>Range,>Range,>Range,,
10/21/21 18:27:06,238846,>Range,>Range,>Range,,
10/21/21 18:27:07,238739,>Range,>Range,>Range,,
10/21/21 18:27:08,238527,>Range,>Range,>Range,,
10/21/21 18:27:09,238283,>Range,>Range,>Range,,
10/21/21 18:27:10,238110,>Range,>Range,>Range,,
10/21/21 18:27:11,237735,>Range,>Range,>Range,,
10/21/21 18:27:12,237545,>Range,>Range,>Range,,
10/21/21 18:27:13,237879,>Range,>Range,>Range,,
10/21/21 18:27:14,237692,>Range,>Range,>Range,,
10/21/21 18:27:15,237637,>Range,>Range,>Range,,
10/21/21 18:27:16,237631,>Range,>Range,>Range,,
10/21/21 18:27:17,237133,>Range,>Range,>Range,,
10/21/21 18:27:18,237086,>Range,>Range,>Range,,
10/21/21 18:27:19,223266,>Range,>Range,>Range,,
10/21/21 18:27:20,148337,>Range,>Range,>Range,,
10/21/21 18:27:21,88204.6,>Range,>Range,>Range,,
10/21/21 18:27:22,51900,>Range,>Range,>Range,,
10/21/21 18:27:23,31130.5,>Range,>Range,>Range,,
10/21/21 18:27:24,18953.3,>Range,>Range,>Range,,
10/21/21 18:27:25,10590.2,>Range,>Range,>Range,,
10/21/21 18:27:26,5359.9,>Range,>Range,>Range,,
10/21/21 18:27:27,2608.8,>Range,>Range,>Range,,
10/21/21 18:27:28,1171.3,>Range,>Range,>Range,,
10/21/21 18:27:29,408,>Range,>Range,>Range,,
10/21/21 18:27:30,-0.5,>Range,>Range,>Range,,
10/21/21 18:27:31,-218.1,>Range,>Range,>Range,,
10/21/21 18:27:32,-330.2,>Range,>Range,>Range,,
10/21/21 18:27:33,-414.2,>Range,>Range,>Range,,
10/21/21 18:27:34,-445.6,>Range,>Range,>Range,,
10/21/21 18:27:35,-472.1,>Range,>Range,>Range,,
10/21/21 18:27:36,-489.5,>Range,>Range,>Range,,
10/21/21 18:27:37,-506.4,>Range,>Range,>Range,,
10/21/21 18:27:38,-534.7,>Range,>Range,>Range,,
10/21/21 18:27:39,-545.4,>Range,>Range,>Range,,
10/21/21 18:27:40,-548.4,>Range,>Range,>Range,,
10/21/21 18:27:41,-555.8,>Range,>Range,>Range,,
10/21/21 18:27:42,-552.2,>Range,>Range,>Range,,
10/21/21 18:27:43,-548.8,>Range,>Range,>Range,,
