timestamp,g per s
10/20/2021 17:55:07,3.4307
10/20/2021 17:55:08,3.4304
10/20/2021 17:55:09,3.4306
10/20/2021 17:55:10,3.4303
10/20/2021 17:55:11,3.4297
10/20/2021 17:55:12,3.4299
10/20/2021 17:55:13,3.4312
10/20/2021 17:55:14,3.4326
10/20/2021 17:55:15,3.4337
10/20/2021 17:55:16,3.4348
10/20/2021 17:55:17,3.4355
10/20/2021 17:55:18,3.4368
10/20/2021 17:55:19,3.4376
10/20/2021 17:55:20,3.4383
10/20/2021 17:55:21,3.4394
10/20/2021 17:55:22,3.4405
10/20/2021 17:55:23,3.4412
10/20/2021 17:55:24,3.4412
10/20/2021 17:55:25,3.441
10/20/2021 17:55:26,3.4407
10/20/2021 17:55:27,3.4417
10/20/2021 17:55:28,3.4436
10/20/2021 17:55:29,3.4457
10/20/2021 17:55:30,3.4463
10/20/2021 17:55:31,3.4455
10/20/2021 17:55:32,3.4435
10/20/2021 17:55:33,3.4411
10/20/2021 17:55:34,3.4394
10/20/2021 17:55:35,3.4388
10/20/2021 17:55:36,3.4375
10/20/2021 17:55:37,3.4375
10/20/2021 17:55:38,3.4376
10/20/2021 17:55:39,3.4384
10/20/2021 17:55:40,3.4395
10/20/2021 17:55:41,3.4404
10/20/2021 17:55:42,3.4411
10/20/2021 17:55:43,3.4415
10/20/2021 17:55:44,3.442
10/20/2021 17:55:45,3.4428
10/20/2021 17:55:46,3.443
10/20/2021 17:55:47,3.4426
10/20/2021 17:55:48,3.4417
10/20/2021 17:55:49,3.4398
10/20/2021 17:55:50,3.4378
10/20/2021 17:55:51,3.4354
10/20/2021 17:55:52,3.4331
10/20/2021 17:55:53,3.432
10/20/2021 17:55:54,3.4307
10/20/2021 17:55:55,3.4304
10/20/2021 17:55:56,3.4302
10/20/2021 17:55:57,3.4336
10/20/2021 17:55:58,3.4349
10/20/2021 17:55:59,3.4356
10/20/2021 17:56:00,3.4365
10/20/2021 17:56:01,3.4375
10/20/2021 17:56:02,3.4384
10/20/2021 17:56:03,3.4385
10/20/2021 17:56:04,3.4383
10/20/2021 17:56:05,3.4378
10/20/2021 17:56:06,3.4372
10/20/2021 17:56:07,3.4365
10/20/2021 17:56:08,3.4356
10/20/2021 17:56:09,3.4351
10/20/2021 17:56:10,3.4353
10/20/2021 17:56:11,3.4357
10/20/2021 17:56:12,3.4358
10/20/2021 17:56:13,3.4359
10/20/2021 17:56:14,3.4364
10/20/2021 17:56:15,3.4372
10/20/2021 17:56:16,3.4369
10/20/2021 17:56:17,3.4363
10/20/2021 17:56:18,3.4348
10/20/2021 17:56:19,3.4333
10/20/2021 17:56:20,3.4328
10/20/2021 17:56:21,3.4311
10/20/2021 17:56:22,3.4302
10/20/2021 17:56:23,3.4296
10/20/2021 17:56:24,3.4285
10/20/2021 17:56:25,3.4276
10/20/2021 17:56:26,3.4274
10/20/2021 17:56:27,3.4275
10/20/2021 17:56:28,3.4267
10/20/2021 17:56:29,3.4258
